StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,cute_calm,cute_nerv,cute_happy,cute_scared,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,scary_calm,scary_nerv,scary_scared,scary_happy,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,order,animal
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click on the number following each adjective that best reflects how you are feeling. - Calm,Click on the number following each adjective that best reflects how you are feeling. - Nervous,Click on the number following each adjective that best reflects how you are feeling. - Happy,Click on the number following each adjective that best reflects how you are feeling. - Scared,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click on the number following each adjective that best reflects how you are feeling. - Calm,Click on the number following each adjective that best reflects how you are feeling. - Nervous,Click on the number following each adjective that best reflects how you are feeling. - Scared,Click on the number following each adjective that best reflects how you are feeling. - Happy,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,order,animal
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_12""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""order""}","{""ImportId"":""animal""}"
2019-01-28 08:10:38,2019-01-28 08:11:16,0,144.121.36.210,100,37,1,2019-01-28 08:11:16,R_wNtGAfOR7Adui65,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,2.183,0,5,1,5,1,0,0,2.811,0,1,4,3,1,,,,,,,,,scary_cute,cat
2019-01-28 08:10:41,2019-01-28 08:11:16,0,144.121.36.211,100,35,1,2019-01-28 08:11:17,R_1dEUzbWJHOPUahX,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,1.84,0,4,1,4,1,0,0,1.992,0,2,2,2,2,,,,,,,,,cute_scary,cat
2019-01-28 08:10:46,2019-01-28 08:11:17,0,144.121.36.212,100,30,1,2019-01-28 08:11:17,R_UbYnPz6ve1bMxnX,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,3,1,4,1,,,,,2,3,3,2,0,0,5.011,0,0,0,4.776,0,cute_scary,dog
2019-01-28 08:10:47,2019-01-28 08:11:22,0,144.121.36.211,100,34,1,2019-01-28 08:11:22,R_3oN3O2aJxQAoZ6Y,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,5,1,5,1,,,,,1,5,5,1,0,0,3.417,0,0,0,5.111,0,scary_cute,dog
2019-01-28 08:10:27,2019-01-28 08:11:31,0,144.121.36.212,100,64,1,2019-01-28 08:11:32,R_1oArJgMGqWxthLs,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,5.107,0,3,1,4,1,0,0,5.108,0,2,2,2,3,,,,,,,,,scary_cute,cat
2019-01-28 08:10:58,2019-01-28 08:11:32,0,144.121.36.212,100,33,1,2019-01-28 08:11:32,R_2CTlGI2wK2lB16F,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,2.623,0,5,1,5,1,0,0,2.35,0,2,3,2,2,,,,,,,,,cute_scary,cat
2019-01-28 08:10:47,2019-01-28 08:11:36,0,172.56.22.246,100,48,1,2019-01-28 08:11:36,R_UQKdIDMop1DZmql,,,,,42.3426971435546875,-71.09220123291015625,anonymous,EN,,,,,5,1,5,1,,,,,2,4,2,1,0,0,2.352,0,0,0,2.817,0,scary_cute,dog
2019-01-28 08:11:03,2019-01-28 08:11:38,0,144.121.36.211,100,34,1,2019-01-28 08:11:38,R_2YwSzhmXl854bYQ,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,4,1,4,1,,,,,1,4,4,1,0,0,4.514,0,0,0,2.231,0,cute_scary,dog
2019-01-28 08:10:20,2019-01-28 08:11:40,0,144.121.36.209,100,79,1,2019-01-28 08:11:40,R_5hX4mwJT6P9qzip,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,4,2,4,2,,,,,3,3,3,4,0,0,5.012,0,0,0,5.017,0,scary_cute,dog
2019-01-28 08:10:54,2019-01-28 08:11:41,0,144.121.36.209,100,46,1,2019-01-28 08:11:41,R_3rPtToGPza5Azga,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,4,2,5,1,,,,,1,4,3,2,0,0,2.018,0,1.447,2.244,2.942,2,cute_scary,dog
