date,type,time,likes_48,retweets_48,comments_48
4/3,informative,morning,1,0,1
4/3,informative,afternoon,1,0,0
4/4,promotional,morning,0,0,0
4/4,promotional,afternoon,0,0,0
4/5,inspirational,morning,2,0,0
4/5,inspirational,afternoon,1,0,0
4/10,inspirational,morning,2,0,0
4/10,inspirational,afternoon,0,1,0
4/11,informative,morning,0,0,0
4/11,informative,afternoon,0,0,0
4/12,promotional,morning,0,0,0
4/12,promotional,afternoon,0,0,0
4/17,promotional,morning,0,0,0
4/17,promotional,afternoon,0,0,0
4/18,inspirational,morning,0,0,0
4/18,inspirational,afternoon,0,0,0
4/19,informative,morning,1,0,0
4/19,informative,afternoon,0,0,0
